date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI,month,month_sin,month_cos
2024-01-01,18.3,5.6,11.3,0.0,10.6,46.82083333333333,70.82916666666667,1771.5833333333333,59.89166666666667,13.175,31.95833333333333,144.08333333333334,1,0.49999999999999994,0.8660254037844387
2024-01-02,16.1,6.4,10.4,0.0,10.4,47.225,70.97500000000001,1620.625,61.275,18.125,30.83333333333333,125.91666666666669,1,0.49999999999999994,0.8660254037844387
2024-01-03,16.0,5.6,9.3,0.0,6.0,59.083333333333336,89.44583333333333,1971.5833333333333,64.07083333333334,24.2,34.625,140.83333333333334,1,0.49999999999999994,0.8660254037844387
2024-01-04,16.1,5.7,10.2,0.0,7.1,60.11666666666667,93.02916666666664,1870.7083333333333,66.08333333333333,17.779166666666665,32.625,153.54166666666666,1,0.49999999999999994,0.8660254037844387
2024-01-05,16.1,6.4,10.3,0.0,7.3,63.80833333333334,99.34166666666664,2042.6666666666667,66.60000000000001,24.4375,39.208333333333336,154.20833333333334,1,0.49999999999999994,0.8660254037844387
2024-01-06,16.6,4.9,9.5,0.0,7.2,66.29166666666667,102.44166666666666,2077.958333333333,69.96249999999999,20.55,43.458333333333336,157.25,1,0.49999999999999994,0.8660254037844387
2024-01-07,16.2,3.8,9.8,0.0,7.4,58.38333333333333,90.07083333333333,1878.5833333333333,64.37083333333334,19.266666666666666,32.916666666666664,153.83333333333334,1,0.49999999999999994,0.8660254037844387
2024-01-08,16.3,5.7,9.9,0.0,6.9,68.1875,103.72916666666669,2117.5416666666665,65.43333333333334,20.83333333333333,46.25,155.375,1,0.49999999999999994,0.8660254037844387
2024-01-09,16.5,5.6,9.5,0.0,8.2,68.94583333333334,103.36666666666667,2128.708333333333,72.77083333333333,18.466666666666665,51.458333333333336,162.33333333333334,1,0.49999999999999994,0.8660254037844387
2024-01-10,17.3,4.5,9.6,0.0,13.0,55.145833333333336,81.77916666666667,1679.3333333333333,61.0875,11.916666666666666,52.41666666666666,154.41666666666666,1,0.49999999999999994,0.8660254037844387
2024-01-11,17.2,4.8,10.1,0.0,9.8,47.5125,70.29583333333333,1431.625,58.74166666666667,15.858333333333334,38.16666666666666,135.45833333333334,1,0.49999999999999994,0.8660254037844387
2024-01-12,17.2,4.9,10.6,0.0,9.2,72.11666666666666,105.4,2097.0,71.12083333333334,16.391666666666666,28.916666666666668,145.29166666666666,1,0.49999999999999994,0.8660254037844387
2024-01-13,16.7,5.4,11.1,0.0,6.5,78.95416666666667,114.59166666666664,2092.7916666666665,70.72500000000001,24.441666666666663,51.79166666666666,169.04166666666666,1,0.49999999999999994,0.8660254037844387
2024-01-14,18.1,4.7,9.8,0.0,9.3,83.59583333333333,120.675,2371.4166666666665,79.24166666666666,20.2,72.25,165.04166666666666,1,0.49999999999999994,0.8660254037844387
2024-01-15,18.9,4.6,10.4,0.0,10.5,77.76666666666667,112.65833333333336,2325.5,74.0125,19.191666666666663,64.0,167.33333333333334,1,0.49999999999999994,0.8660254037844387
